tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt1175709,All Good Things,2010,"Crime,Drama,Mystery",6.3,Magn.,582000.0,2010
tt1178665,A Walk in the Woods,2015,"Adventure,Biography,Comedy",6.3,BG,29500000.0,2015
tt1179034,From Paris with Love,2010,"Action,Crime,Thriller",6.5,LGF,24100000.0,2010
tt1179069,6 Souls,2010,"Horror,Mystery,Thriller",6.1,RTWC,,2013
tt1179933,10 Cloverfield Lane,2016,"Drama,Horror,Mystery",7.2,Par.,72100000.0,2016
tt1181791,Black Death,2010,"Action,Adventure,Drama",6.4,Magn.,22600.0,2011
tt1181840,Jack and the Cuckoo-Clock Heart,2013,"Adventure,Animation,Drama",7.0,Shout!,,2014
tt1182350,You Will Meet a Tall Dark Stranger,2010,"Comedy,Drama,Romance",6.3,SPC,3200000.0,2010
tt1183919,Marley,2012,"Biography,Documentary,Music",8.0,Magn.,1400000.0,2012
tt1183923,Welcome to the Rileys,2010,Drama,7.0,Gold.,159000.0,2010
tt1185416,When in Rome,2010,"Comedy,Romance",5.6,BV,32700000.0,2010
tt1188982,Jai Ho,2014,"Action,Drama",5.3,Eros,1300000.0,2014
tt1189073,The Skin I Live In,2011,"Drama,Horror,Thriller",7.6,SPC,3200000.0,2011
tt1189340,The Lincoln Lawyer,2011,"Crime,Drama,Thriller",7.3,LGF,58000000.0,2011
tt1192628,Rango,2011,"Adventure,Animation,Comedy",7.2,Par.,123500000.0,2011
tt1194173,The Bourne Legacy,2012,"Action,Adventure,Thriller",6.7,Uni.,113200000.0,2012
tt1194417,Casino Jack,2010,"Biography,Comedy,Crime",6.2,ATO,1000000.0,2010
tt1195478,The Five-Year Engagement,2012,"Comedy,Romance",6.2,Uni.,28800000.0,2012
tt1196141,Diary of a Wimpy Kid,2010,"Comedy,Drama,Family",6.2,Fox,64000000.0,2010
tt1196340,Inhale,2010,"Drama,Thriller",6.6,IFC,4100.0,2010
tt1196948,Charlie Countryman,2013,"Comedy,Drama,Romance",6.4,MNE,11700.0,2013
tt1196956,One Chance,2013,"Biography,Comedy,Drama",6.8,Wein.,101000.0,2014
tt1198101,Kites,2010,"Action,Drama,Romance",6.1,Relbig.,1600000.0,2010
tt1198156,You're Not You,2014,Drama,7.4,EOne,11500.0,2014
tt1204340,Tyrannosaur,2011,Drama,7.6,Strand,22300.0,2011
tt1204342,The Muppets,2011,"Adventure,Comedy,Family",7.1,BV,88600000.0,2011
tt1204975,Last Vegas,2013,"Comedy,Drama",6.6,CBS,63900000.0,2013
tt1204977,Ouija,2014,"Horror,Mystery,Thriller",4.5,Uni.,50900000.0,2014
tt1205537,Jack Ryan: Shadow Recruit,2014,"Action,Drama,Thriller",6.2,Par.,50600000.0,2014
tt1206543,Out of the Furnace,2013,"Crime,Drama,Thriller",6.8,Rela.,11300000.0,2013
tt1210166,Moneyball,2011,"Biography,Drama,Sport",7.6,Sony,75600000.0,2011
tt1210819,The Lone Ranger,2013,"Action,Adventure,Western",6.4,BV,89300000.0,2013
tt1211837,Doctor Strange,2016,"Action,Adventure,Fantasy",7.5,BV,232600000.0,2016
tt1211956,Escape Plan,2013,"Action,Crime,Mystery",6.7,LG/S,25100000.0,2013
tt1212419,Hereafter,2010,"Drama,Fantasy,Romance",6.5,WB,32700000.0,2010
tt1212428,The Lost City of Z,2016,"Adventure,Biography,Drama",6.6,BST,8600000.0,2017
tt1212450,Lawless,2012,"Crime,Drama",7.3,Wein.,37400000.0,2012
tt1212454,An Invisible Sign,2010,"Comedy,Drama,Family",5.4,IFC,1300.0,2011
tt1213012,Alpha and Omega,2010,"Adventure,Animation,Comedy",5.3,LGF,25100000.0,2010
tt1213641,First Man,2018,"Biography,Drama,History",7.4,Uni.,44900000.0,2018
tt1213648,London Boulevard,2010,"Crime,Drama",6.2,IFC,16100.0,2011
tt1213663,The World's End,2013,"Action,Comedy,Sci-Fi",7.0,Focus,26000000.0,2013
tt1214962,Seeking Justice,2011,"Action,Crime,Drama",6.2,Anch.,412000.0,2012
tt1216475,Cars 2,2011,"Adventure,Animation,Comedy",6.2,BV,191500000.0,2011
