primary_title,genres,studio,domestic_gross,year
The Smurfs,"Adventure,Animation,Comedy",Sony,142600000.0,2011
Taken 2,"Action,Thriller",Fox,139900000.0,2012
21 Jump Street,"Action,Comedy,Crime",Sony,138400000.0,2012
Split,"Comedy,Romance,Sport",Uni.,138300000.0,2017
Ready Player One,"Action,Adventure,Sci-Fi",WB,137700000.0,2018
Argo,"Biography,Drama,Thriller",WB,136000000.0,2012
Ride Along,"Action,Comedy,Crime",Uni.,134900000.0,2014
Identity Thief,"Adventure,Comedy,Crime",Uni.,134500000.0,2013
Grown Ups 2,Comedy,Sony,133699999.0,2013
Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy",Fox,133100000.0,2011
The Wolverine,"Action,Adventure,Sci-Fi",Fox,132600000.0,2013
Rio 2,"Adventure,Animation,Comedy",Fox,131500000.0,2014
The Peanuts Movie,"Adventure,Animation,Comedy",Fox,130199999.0,2015
Kingsman: The Secret Service,"Action,Adventure,Comedy",Fox,128300000.0,2015
Into the Woods,"Adventure,Comedy,Drama",BV,128000000.0,2014
Lucy,"Action,Sci-Fi,Thriller",Uni.,126700000.0,2014
The Legend of Tarzan,"Action,Adventure,Drama",WB,126600000.0,2016
Prometheus,"Adventure,Mystery,Sci-Fi",Fox,126500000.0,2012
Sully,"Biography,Drama",WB,125100000.0,2016
Lone Survivor,"Action,Biography,Drama",Uni.,125100000.0,2013
Life of Pi,"Adventure,Drama,Fantasy",Fox,125000000.0,2012
The Good Dinosaur,"Adventure,Animation,Comedy",BV,123100000.0,2015
Mamma Mia! Here We Go Again,"Comedy,Musical,Romance",Uni.,120600000.0,2018
Cloudy with a Chance of Meatballs 2,"Adventure,Animation,Comedy",Sony,119800000.0,2013
The Other Guys,"Action,Comedy,Crime",Sony,119200000.0,2010
Salt,"Action,Mystery,Thriller",Sony,118300000.0,2010
Green Lantern,"Action,Adventure,Sci-Fi",WB,116600000.0,2011
Peter Rabbit,"Adventure,Animation,Comedy",Sony,115300000.0,2018
Girls Trip,"Comedy,Drama",Uni.,115200000.0,2017
Fifty Shades Darker,"Drama,Romance",Uni.,114600000.0,2017
Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",Fox,113700000.0,2014
Magic Mike,"Comedy,Drama",WB,113700000.0,2012
The Bourne Legacy,"Action,Adventure,Thriller",Uni.,113200000.0,2012
The Hangover Part III,"Adventure,Comedy,Crime",WB,112200000.0,2013
Mr. Peabody & Sherman,"Adventure,Animation,Comedy",Fox,111500000.0,2014
Spy,"Action,Crime,Drama",Fox,110800000.0,2015
Trainwreck,"Comedy,Drama,Romance",Uni.,110200000.0,2015
Hop,"Adventure,Animation,Comedy",Uni.,108100000.0,2011
Epic,"Adventure,Animation,Family",Fox,107500000.0,2013
The Angry Birds Movie,"Action,Animation,Comedy",Sony,107500000.0,2016
Captain Phillips,"Biography,Drama,Thriller",Sony,107100000.0,2013
Robin Hood,"Action,Adventure,Drama",Uni.,105300000.0,2010
Pitch Perfect 3,"Comedy,Music",Uni.,104900000.0,2017
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",Fox,104400000.0,2010
The Mule,"Comedy,Drama",WB,103800000.0,2018
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",Fox,103100000.0,2016
The Maze Runner,"Action,Mystery,Sci-Fi",Fox,102400000.0,2014
The Equalizer 2,"Action,Crime,Thriller",Sony,102100000.0,2018
Pacific Rim,"Action,Adventure,Sci-Fi",WB,101800000.0,2013
The Equalizer,"Action,Crime,Thriller",Sony,101500000.0,2014
A Wrinkle in Time,"Adventure,Family,Fantasy",BV,100500000.0,2018
Due Date,"Adventure,Comedy",WB,100500000.0,2010
Fifty Shades Freed,"Drama,Romance,Thriller",Uni.,100400000.0,2018
Bad Teacher,"Comedy,Romance",Sony,100300000.0,2011
Yogi Bear,"Adventure,Animation,Comedy",WB,100200000.0,2010
Edge of Tomorrow,"Action,Sci-Fi",WB,100200000.0,2014
Cowboys & Aliens,"Action,Sci-Fi,Thriller",Uni.,100200000.0,2011
Kingsman: The Golden Circle,"Action,Adventure,Comedy",Fox,100200000.0,2017
The Green Hornet,"Action,Comedy,Crime",Sony,98800000.0,2011
Date Night,"Comedy,Crime,Romance",Fox,98700000.0,2010
Sausage Party,"Adventure,Animation,Comedy",Sony,97700000.0,2016
The Social Network,"Biography,Drama",Sony,97000000.0,2010
Zero Dark Thirty,"Drama,Thriller",Sony,95700000.0,2012
The Book of Eli,"Action,Adventure,Drama",WB,94800000.0,2010
Tomorrowland,"Action,Adventure,Family",BV,93400000.0,2015
The Town,"Crime,Drama,Thriller",WB,92200000.0,2010
Non-Stop,"Action,Mystery,Thriller",Uni.,92200000.0,2014
Blade Runner 2049,"Drama,Mystery,Sci-Fi",WB,92100000.0,2017
Ride Along 2,"Action,Comedy,Crime",Uni.,91200000.0,2016
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy",BV,90800000.0,2010
Get Hard,"Comedy,Crime",WB,90400000.0,2015
Planes,"Adventure,Animation,Comedy",BV,90300000.0,2013
